sex,shell_height,age
1,159,13
2,163,18
2,138,7
1,157,14
1,163,13
2,161,13
2,153,9
1,165,14
2,123,6
0,47,1
0,34,1
0,32,1
0,164,15
0,163,13
0,180,19
1,182,20
2,136,7
2,167,14
2,171,14
2,155,13
2,170,14
1,151,14
2,90,3
0,66,2
0,65,2
0,34,1
0,152,11
0,146,11
0,155,14
0,148,8
2,147,9
1,159,10
2,145,7
2,132,6
2,168,12
2,159,12
2,146,6
2,148,7
1,192,24
1,163,16
1,71,2
1,80,2
1,73,2
0,69,2
0,65,2
0,46,1
0,46,1
0,31,1
0,38,1
0,49,1
0,171,10
1,182,17
2,149,11
1,146,11
0,78,3
0,176,18
1,157,9
2,168,9
2,181,13
1,175,10
2,162,10
1,83,2
1,66,2
2,63,2
2,66,2
1,66,2
1,78,2
0,69,2
0,67,2
1,65,2
0,63,2
0,175,15
2,146,7
1,152,7
2,115,4
2,159,9
2,153,11
2,142,6
2,137,5
1,141,7
2,160,13
1,74,2
0,73,2
0,72,2
0,51,1
0,47,1
0,50,1
0,44,1
0,48,1
0,30,1
0,139,7
2,144,7
1,174,16
2,151,9
2,129,6
2,150,10
1,134,7
1,124,6
0,101,4
1,100,4
1,104,4
2,95,3
1,93,4
0,65,2
0,59,2
0,58,2
0,56,2
0,56,2
0,52,2
0,32,1
0,34,1
0,144,9
1,147,7
1,157,11
2,148,10
1,105,4
2,110,4
2,134,6
1,168,12
2,165,12
2,139,5
1,108,4
2,103,4
2,96,4
2,97,4
0,66,2
0,62,2
0,65,2
0,52,2
0,57,2
0,61,2
0,13,0
0,147,7
0,157,12
0,168,13
1,127,6
2,158,13
1,170,17
2,160,16
1,166,14
2,148,10
2,162,17
2,144,11
1,152,13
1,99,5
0,54,1
0,56,2
2,100,3
2,92,3
2,169,14
1,141,5
2,145,6
1,141,6
1,102,2
1,120,4
1,66,2
2,66,2
1,67,2
0,20,1
0,22,1
0,26,1
0,24,1
0,26,1
0,23,1
0,24,1
2,164,11
2,127,4
1,101,2
1,119,4
1,105,3
1,159,10
1,99,2
2,126,4
2,110,3
2,141,6
1,67,2
1,67,2
1,63,2
0,57,1
2,63,2
0,46,1
0,45,1
0,20,1
0,23,1
0,17,1
1,124,5
1,114,4
1,146,7
2,115,4
1,108,4
2,146,9
2,117,4
2,118,4
2,121,4
1,118,4
1,82,2
1,73,2
2,80,2
2,82,2
2,77,2
1,71,2
1,64,2
0,53,1
0,67,2
0,53,1
0,78,2
0,143,6
0,136,6
2,112,4
1,121,4
2,123,4
1,119,4
1,122,4
1,148,7
1,115,4
2,111,4
1,105,3
1,122,4
1,97,3
2,97,4
2,85,2
2,79,2
1,76,2
2,80,2
2,66,2
0,51,1
0,43,1
2,106,3
2,156,10
1,145,8
1,150,8
2,140,6
1,157,10
1,173,22
1,141,7
2,138,7
1,104,4
2,77,2
0,66,2
0,48,1
0,41,1
0,31,1
0,138,7
0,144,6
0,120,5
0,101,4
2,154,15
2,146,10
2,149,11
2,102,4
1,142,7
2,141,7
1,163,14
1,137,9
2,168,14
2,132,7
0,59,2
0,70,2
0,56,2
0,56,2
0,48,1
0,40,1
0,34,1
0,38,1
0,24,1
0,156,11
0,39,2
1,149,12
2,127,7
2,156,14
2,139,10
2,134,7
2,150,12
2,156,13
2,164,12
2,160,16
1,150,12
2,91,3
2,98,4
0,36,1
0,40,1
0,139,9
2,159,12
1,114,10
0,31,1
0,32,1
0,165,17
1,109,4
2,164,13
1,93,2
0,62,1
0,27,1
0,27,1
0,27,1
0,27,1
0,43,1
0,27,1
2,152,7
1,146,7
2,159,10
1,114,3
1,128,6
1,121,4
1,119,4
1,140,7
1,148,7
0,88,2
1,90,2
1,90,2
0,78,2
0,25,0
0,25,1
0,25,0
0,62,1
0,62,1
0,59,1
0,154,8
0,142,9
2,167,9
0,141,10
1,113,4
0,150,12
1,131,7
2,139,7
1,115,4
2,173,14
0,149,10
2,163,15
0,57,1
0,59,1
0,56,1
0,81,2
0,78,2
1,77,2
0,73,2
1,96,3
2,166,14
2,151,9
2,147,10
0,149,11
0,147,9
1,103,4
1,128,7
0,141,8
2,160,15
0,148,9
0,66,2
0,44,1
0,65,2
0,42,1
0,42,1
1,100,4
0,133,7
0,156,14
1,134,7
0,134,9
2,152,12
2,143,9
2,176,19
2,140,9
1,119,5
2,154,13
2,165,15
0,154,15
0,20,0
0,67,2
0,20,0
0,20,0
0,49,1
0,68,2
0,60,2
0,69,2
0,72,2
0,71,2
2,137,10
2,141,11
1,123,9
2,152,15
2,136,8
0,138,10
0,151,11
2,146,15
2,140,12
1,119,6
0,40,1
0,42,1
2,144,15
1,116,6
2,133,11
1,132,10
0,122,9
2,174,22
2,169,22
2,146,16
1,127,7
2,151,12
0,139,9
0,39,1
2,160,11
2,162,16
2,162,14
2,162,15
2,151,12
1,100,3
2,153,12
0,145,9
0,152,10
2,152,12
1,110,5
2,150,14
0,145,10
0,165,16
1,138,7
0,140,11
0,161,14
0,19,0
0,22,0
0,95,4
1,97,4
0,96,4
0,67,2
0,67,2
0,48,1
0,46,1
0,21,0
1,150,10
2,164,11
2,148,10
2,147,12
0,135,8
0,163,14
2,180,16
1,103,4
2,137,10
1,143,8
1,94,4
0,100,4
0,81,2
0,71,2
0,70,2
0,61,2
0,76,2
0,67,2
0,61,2
0,21,0
0,159,9
1,117,4
2,166,9
2,171,17
2,160,10
2,174,12
1,134,5
1,155,10
1,147,7
1,157,8
0,90,2
0,74,2
0,58,1
0,47,1
0,23,0
0,24,0
0,22,0
0,25,0
0,23,0
1,175,16
2,163,10
1,139,7
2,149,15
2,169,17
2,167,15
1,166,15
2,163,14
2,123,5
2,158,10
2,161,15
2,169,13
1,123,5
1,127,7
2,86,2
2,76,2
2,79,4
1,73,2
1,53,1
0,49,1
0,51,1
0,48,1
0,47,1
0,34,1
0,163,11
2,180,14
2,169,14
2,164,15
1,156,13
1,168,15
2,164,16
2,161,12
2,116,4
2,170,15
1,165,15
0,43,1
0,47,1
0,38,1
0,38,1
0,45,1
0,43,1
0,45,1
0,49,1
0,183,20
0,177,22
2,150,11
1,166,19
1,167,14
2,140,7
1,155,11
2,145,7
1,156,11
2,109,5
1,152,8
1,131,5
0,56,2
0,54,2
0,56,2
0,56,2
0,53,2
0,57,2
0,55,2
0,54,2
0,56,2
0,58,2
0,181,13
0,145,6
0,32,1
2,160,17
2,155,14
1,111,5
1,138,12
1,168,16
2,79,3
0,64,2
0,40,1
1,171,14
2,126,8
1,120,4
2,111,4
2,104,3
1,104,3
1,100,3
2,100,3
1,101,3
1,105,3
1,104,3
2,71,2
1,70,2
0,19,0
0,16,0
0,20,0
0,20,1
0,23,1
0,20,1
0,22,1
1,164,12
2,126,5
2,161,13
2,123,5
1,171,16
1,139,7
1,153,11
1,143,7
2,145,8
1,128,5
1,90,3
0,53,1
0,58,1
0,38,1
0,59,1
0,54,1
0,59,1
0,54,1
0,88,3
2,159,16
1,138,7
1,121,6
1,141,8
1,138,11
2,144,7
2,157,12
1,119,5
1,119,5
1,120,5
0,45,1
0,50,1
0,49,1
0,51,1
0,48,1
0,52,1
0,54,1
0,46,1
0,50,1
0,45,1
2,168,11
2,168,15
1,144,10
1,130,5
1,153,8
2,125,5
2,121,5
1,126,5
2,135,6
1,119,5
0,43,1
0,55,1
0,54,1
0,57,1
0,49,1
0,52,1
0,48,1
0,47,1
0,54,1
0,53,1
1,153,10
1,175,17
2,151,11
2,167,12
2,161,10
2,144,6
2,155,11
1,116,3
2,121,4
0,61,1
0,62,1
1,89,3
0,59,1
0,59,1
0,60,1
0,66,1
0,61,1
0,67,1
0,60,1
0,115,4
1,95,3
0,59,1
1,146,7
0,29,1
2,133,5
1,113,4
2,141,7
1,126,5
2,159,7
2,151,8
2,145,7
1,112,3
0,17,0
0,20,0
0,23,0
0,21,0
0,24,0
0,44,1
1,61,1
1,65,1
2,72,2
0,23,0
0,153,7
0,18,0
1,113,3
2,176,14
1,109,4
2,149,9
2,109,3
1,110,3
2,150,6
2,112,3
1,123,3
1,124,4
1,66,1
1,68,1
0,55,1
0,24,0
0,23,0
0,19,0
0,22,0
0,20,0
0,20,0
1,149,7
1,125,5
2,158,10
2,114,3
1,112,4
2,147,9
1,113,3
2,145,7
2,125,5
2,114,3
1,95,3
2,90,3
0,63,1
0,58,1
0,60,1
0,55,1
0,58,1
0,53,1
0,49,1
0,43,1
2,131,5
1,175,12
2,163,9
1,120,8
2,117,3
1,138,7
1,128,5
1,123,5
2,135,5
2,127,5
2,79,3
1,82,3
1,80,2
2,76,2
0,58,1
0,54,1
0,55,1
0,61,1
0,60,1
0,40,1
2,170,13
1,160,10
2,151,7
1,147,13
1,144,7
1,163,20
1,124,8
2,128,10
1,128,4
2,120,5
1,77,3
2,86,2
2,88,2
0,56,1
0,60,1
0,52,1
0,55,1
0,58,1
0,50,1
0,50,1
2,161,13
2,155,10
2,142,7
1,155,12
2,168,16
1,147,8
1,134,8
2,137,10
1,108,4
1,118,5
2,93,3
2,78,2
1,78,2
2,76,2
0,45,1
0,47,1
0,48,1
0,45,1
0,49,1
0,51,1
1,161,13
1,164,12
1,146,10
1,139,9
1,137,7
1,166,15
2,150,10
1,136,8
2,152,13
1,155,13
0,44,1
0,45,1
0,42,1
0,42,1
0,43,1
0,40,1
0,41,1
0,37,1
0,36,1
0,25,0
0,166,10
2,160,9
2,161,9
2,169,14
2,134,5
1,145,7
2,106,4
2,166,11
1,109,3
1,137,7
1,110,4
2,87,2
1,67,1
1,57,1
0,60,1
0,61,1
0,57,1
0,56,1
0,54,1
0,55,1
0,52,1
0,138,5
1,141,9
2,126,5
1,156,10
2,141,7
2,134,5
2,169,15
1,158,8
1,143,7
1,124,5
2,125,5
2,104,3
1,104,3
2,103,3
1,106,3
1,80,2
2,88,2
2,76,3
0,54,1
0,56,1
0,56,1
0,163,15
0,145,8
1,161,14
2,160,15
1,158,18
1,160,15
1,150,12
1,125,12
2,128,7
1,145,11
1,142,11
2,120,8
1,87,3
2,77,2
1,71,3
2,70,3
2,72,3
2,64,2
0,46,1
0,45,1
0,43,1
0,40,1
0,148,10
2,163,12
1,163,14
2,143,10
1,138,8
2,140,12
2,121,4
1,114,5
1,175,18
1,152,10
2,159,12
1,98,3
1,79,2
1,76,2
0,52,1
0,43,1
0,45,1
0,45,1
0,43,1
0,44,1
0,27,0
0,130,7
0,41,1
0,39,1
0,40,1
0,34,1
2,180,18
1,147,13
1,146,13
1,157,15
2,149,15
2,136,13
2,89,3
1,87,3
0,71,2
0,62,2
0,43,1
0,41,1
0,39,1
0,39,1
0,27,0
0,20,0
0,175,15
0,167,20
0,58,2
1,151,15
1,173,18
2,159,13
1,128,9
2,183,21
2,150,15
2,152,15
2,107,4
1,84,3
0,44,1
0,40,1
0,44,1
0,42,1
1,160,16
2,143,16
1,162,15
2,151,13
2,156,15
1,152,10
2,181,21
2,142,9
2,152,14
0,45,1
0,43,1
0,46,1
0,41,1
0,39,1
0,41,1
0,44,1
0,45,1
0,37,1
0,40,1
2,147,11
1,75,3
0,36,1
0,177,29
2,155,13
0,66,2
0,30,1
2,142,12
2,180,20
2,155,15
1,70,3
0,156,16
1,170,19
1,149,12
1,144,12
2,160,14
1,192,20
2,172,19
1,172,16
1,175,21
1,105,4
1,144,11
2,86,3
1,93,3
0,47,2
0,46,2
0,50,2
0,47,2
0,47,2
0,50,2
0,47,2
0,45,2
1,138,8
1,177,21
2,136,10
1,113,5
2,157,15
2,112,5
2,147,11
2,165,14
1,119,5
2,146,9
2,112,4
2,73,2
0,49,1
0,48,1
0,47,1
0,43,1
0,51,1
0,46,1
0,41,1
0,44,1
0,61,2
2,111,4
1,139,8
1,164,11
2,169,15
1,157,12
1,157,10
2,164,11
1,142,7
2,140,7
1,117,4
1,88,2
2,90,2
1,88,2
1,64,1
0,62,1
0,60,1
0,61,1
0,62,1
0,58,1
0,55,1
2,154,8
1,158,8
2,149,8
1,166,10
1,130,5
1,123,5
1,151,9
1,162,11
1,147,8
2,124,5
2,102,3
0,62,1
1,65,1
0,57,1
0,54,1
0,56,1
0,57,1
0,55,1
0,53,1
0,44,1
0,134,6
0,148,7
0,155,11
0,133,7
1,142,7
1,116,4
2,121,6
1,141,8
2,146,6
1,152,7
1,111,3
2,142,6
1,150,7
2,117,4
1,100,3
1,103,3
1,88,3
1,90,3
2,84,2
2,92,3
2,85,2
1,82,2
2,69,2
1,59,1
0,154,9
1,109,3
2,116,5
1,134,7
2,124,5
1,126,5
1,111,4
1,108,3
2,158,12
1,125,5
1,110,3
1,107,3
1,91,3
1,99,3
2,90,2
2,89,3
0,58,1
0,60,1
0,61,1
0,57,1
0,57,1
0,101,3
2,136,10
1,155,13
1,153,14
2,131,8
1,153,11
1,127,7
1,141,10
2,164,16
2,144,12
2,144,11
2,97,3
0,52,1
0,49,1
0,48,1
0,46,1
0,49,1
0,48,1
0,46,1
0,43,1
0,22,0
1,146,11
2,155,14
1,134,8
1,135,8
1,169,16
1,132,8
2,117,5
2,165,15
1,169,15
2,151,13
2,96,3
1,79,2
0,53,1
0,141,9
2,149,13
1,147,11
1,144,12
2,138,13
2,153,13
1,151,11
2,164,17
1,148,11
2,134,8
1,156,13
1,79,3
1,75,3
0,47,1
0,54,1
0,49,1
0,48,1
0,52,1
0,49,1
0,44,1
0,43,1
0,56,2
1,136,13
1,150,11
1,137,13
2,154,15
1,137,13
2,148,12
2,144,14
1,144,12
2,156,18
1,148,14
1,94,3
1,79,2
2,76,2
2,71,3
2,65,2
0,41,1
0,34,1
0,32,1
0,27,1
0,26,1
0,89,3
2,115,5
2,105,3
2,119,5
1,132,6
1,162,16
2,119,6
2,120,6
1,110,3
1,118,5
2,147,11
1,113,5
2,102,3
1,104,3
1,84,3
2,90,2
2,85,2
1,86,2
2,77,3
1,73,2
0,54,1
0,94,3
0,169,14
2,136,5
1,138,6
2,118,5
1,154,8
1,157,12
2,126,5
1,142,11
2,140,6
1,137,6
2,117,3
2,92,3
0,61,1
0,64,1
0,19,0
0,23,0
0,21,0
0,24,0
0,21,0
0,22,0
0,20,0
0,181,12
0,156,7
1,144,8
1,112,4
1,118,4
1,72,3
2,68,1
0,58,2
0,28,0
0,28,0
0,25,0
0,25,0
0,24,0
0,22,0
0,24,0
2,145,8
1,122,6
1,142,7
2,134,5
1,120,5
1,122,5
2,153,8
1,141,8
2,138,8
2,140,9
2,107,4
2,98,3
1,102,3
2,102,3
1,81,2
1,75,2
1,82,2
2,64,2
0,57,1
0,60,1
0,151,10
1,107,3
0,53,1
0,30,0
0,27,0
0,27,0
0,29,0
0,28,0
0,27,0
0,26,0
0,26,0
0,22,0
1,166,16
2,164,11
2,169,13
2,143,5
2,151,6
0,22,0
0,22,0
0,167,16
2,140,5
2,120,4
1,168,12
1,158,9
2,116,4
1,137,6
1,152,7
1,97,3
1,176,18
2,165,9
2,99,3
0,58,1
0,56,1
0,58,1
0,61,1
0,55,1
0,64,1
0,62,1
0,54,1
0,60,1
1,150,6
0,61,2
0,62,2
0,61,2
0,68,2
0,71,2
0,64,2
0,68,2
0,65,2
0,67,2
0,18,0
2,168,14
2,165,13
1,172,13
1,168,12
2,185,19
1,153,7
1,162,12
2,169,14
1,157,9
1,133,5
0,60,2
0,64,1
0,60,2
0,64,2
0,65,1
2,185,17
1,106,3
2,135,4
1,129,4
1,125,4
1,133,6
1,100,3
2,107,3
1,102,3
2,157,11
0,56,1
0,46,1
0,64,2
0,61,2
0,65,2
0,50,1
0,60,1
0,59,1
0,61,2
0,58,2
2,128,5
2,158,8
2,168,11
2,151,9
1,139,5
2,119,4
1,100,3
2,115,4
1,106,3
1,160,8
0,31,0
0,53,1
0,52,1
0,54,1
0,59,1
0,53,1
1,94,2
1,96,3
1,81,2
2,93,3
0,177,18
2,109,3
2,129,6
1,108,3
1,104,3
2,102,3
2,106,3
2,115,3
1,111,3
1,121,4
1,130,6
2,89,2
2,91,3
2,77,3
2,88,3
2,86,2
2,92,3
2,86,2
1,87,2
1,88,3
1,83,3
2,105,3
2,154,14
1,154,16
2,100,4
2,146,13
2,143,14
1,152,14
2,152,15
2,139,7
0,136,9
1,68,2
1,82,4
1,71,2
1,76,2
1,81,3
1,78,2
1,75,2
1,44,1
1,58,1
2,77,2
0,151,12
0,142,11
1,124,4
2,106,3
1,112,3
1,112,3
2,125,4
2,93,3
1,125,4
1,121,4
2,100,3
2,153,9
0,35,1
0,61,1
0,56,1
0,57,1
2,85,3
2,86,2
2,64,3
2,91,3
1,86,3
1,94,3
2,106,3
1,101,3
